Months_loan_taken_for,Purpose,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant,Primary_applicant_age_in_years,Gender,Marital_status,Housing,Years_at_current_residence,Employment_status,Foreign_worker,Savings_account_balance,other_emi,employed_range,Principal_loan_amount_log
6,electronic equipment,4,real estate,0,0,2,critical/pending loans at other banks,0,67,1,single,1,4,skilled employee / official,1,None,0,7 years and up,13.971659240454205
48,electronic equipment,2,real estate,0,0,1,existing loans paid back duly till now,1,22,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,1 year - 4 years,15.59906983062699
12,education,2,real estate,0,0,1,critical/pending loans at other banks,0,49,1,single,1,3,unskilled - resident,1,Low,0,4 years - 7 years,14.55554132442307
42,FF&E,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0,45,1,single,0,4,skilled employee / official,1,Low,0,4 years - 7 years,15.880092236737086
24,new vehicle,3,No Property,0,0,2,delay in paying off loans in the past,1,53,1,single,0,4,skilled employee / official,1,Low,0,1 year - 4 years,15.398604495058771
36,education,2,No Property,0,0,1,existing loans paid back duly till now,0,35,1,single,0,4,unskilled - resident,1,None,0,1 year - 4 years,16.018827649299652
24,FF&E,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,53,1,single,1,4,skilled employee / official,1,High,0,7 years and up,14.85755249514399
36,used vehicle,2,car or other,0,0,1,existing loans paid back duly till now,0,35,1,single,0,2,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,15.753964406343131
12,electronic equipment,2,real estate,0,0,1,existing loans paid back duly till now,0,61,1,divorced/separated/married,1,4,unskilled - resident,1,High,0,4 years - 7 years,14.93359862313304
30,new vehicle,4,car or other,0,0,2,critical/pending loans at other banks,1,28,1,married/widowed,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,None,15.470686362072229
